Zip Code, Whites, Blacks,Latinos, Asians
60601,65.05,10.22,6.78,17
60602,67.04,1.68,14.14,15.54
60603,57.19,1.00,9.28,31.54
60604,74.00,1.43,7.4,16.23
60605,56.61,19.67,4.42,16.49
60606,76.20,2.25,6.65,14.44
60607,54.88,14.73,8.75,18.83
60608,15.52,16.95,56.73,9.41
60609,16.29,26.19,51,5.28
60610,70.68,16.14,4.92,6.24
60611,71.93,4.00,5.79,16
60612,19.90,60.37,14.58,4
60613,74.49,6.53,9.65,6.65
60614,81.06,3.93,7.22,5.46
60615,24.37,58.81,5.74,8.33
60616,22.81,25.25,10.05,39.06
60617,7.56,53.54,37.9,0.23
60618,45.63,1.99,44.92,4.91
60619,0.66,96.53,1.3,0
60620,0.77,96.46,1.37,0.2
60621,1.21,95.15,1.94,0.23
60622,58.96,7.46,27.16,3.7
60623,1.90,32.71,64.62,0.18
60624,1.81,94.36,3.22,0.28
60625,43.39,4.08,37.2,13.1
60626,42.60,23.88,22.9,7.35
60628,1.97,93.85,3.08,1
60629,8.73,21.82,68.42,0.63
60630,59.38,0.95,25.89,11.7
60631,84.50,1.51,10.88,2
60632,9.97,1.14,84.12,4.5
60633,33.30,23.26,42.14,0.8
60634,58.02,1.42,35.89,4
60636,1.02,93.03,4.12,0.4
60637,15.00,77.03,1.91,4.3
60638,51.17,2.85,44.22,2
60639,6.10,14.64,77.55,2
60640,53.84,17.59,12.67,12
60641,37.24,2.40,53.8,6
60643,21.74,73.33,2.83,2
60644,2.09,93.39,3.91,0.5
60645,45.85,15.67,20.23,15.65
60646,74.85,0.65,12.76,11
60647,39.29,5.72,50.68,3
60649,2.05,93.16,2.49,1
60651,2.98,62.49,33.05,0.5
60652,14.81,46.70,37.03,1.11
60653,4.31,91.43,1.6,1
60654,72.75,4.59,7.13,11.7
60655,84.08,7.64,5.65,2
60656,78.19,0.72,10.93,8
60657,81.34,2.65,6.77,6.7
60659,40.57,7.14,18.55,31
60660,51.98,15.43,18.8,11.4
60661,58.41,5.71,7.07,27
