zip,median_household_income,population,white,white_per,non-white_per,african_american,aa_per,latino,latino_pop,asian,asian_per,median_home_value,total_households,owner_occupied_households,owner_occupied_per,rpms_enrollment
60029,117566,482,410,0.850622407,0.149377593,0,0,49,0.101659751,18,0.037344398,"663,043",201,126,0.626865672,1
60201,77106,43125,27111,0.62866087,0.37133913,6001,0.139153623,3699,0.085773913,4621,0.107153623,"504,921","19,062","8,907",0.467264715,3
60202,81000,31361,18394,0.586524664,0.413475336,6919,0.220624342,3922,0.125059788,2224,0.070916106,"347,950","15,144","7,433",0.490821447,6
60611,96237,28718,22045,0.767637022,0.232362978,1230,0.042830281,1775,0.061807925,4775,0.166272025,"564,266","27,702","9,767",0.352573821,2
60613,77329,48281,36720,0.760547627,0.239452373,3215,0.066589342,4757,0.098527371,3280,0.067935627,336503,30315,10341,0.341118258,30
60614,101853,66617,55584,0.834381614,0.165618386,2697,0.040485161,4948,0.074275335,3744,0.05620187,607643,37817,14040,0.371261602,7
60618,61921,92084,43910,0.476847226,0.523152774,1917,0.020817949,43226,0.469419226,4721,0.051268407,367860,39733,14239,0.3583671,42
60622,73418,52548,32175,0.612297328,0.387702672,4075,0.077548146,14830,0.282218162,1919,0.036518992,"452,353","26,437","7,792",0.294738435,2
60625,58570,78651,34102,0.43358635,0.56641365,3205,0.040749641,29236,0.371718096,10184,0.129483414,348642,32841,10412,0.317042721,120
60626,46541,50139,20977,0.418376912,0.581623088,11758,0.234508068,11275,0.224874848,3598,0.071760506,229951,23155,6033,0.260548478,8
60630,65783,54093,33836,0.625515316,0.374484684,540,0.009982807,14753,0.272733995,6528,0.120681049,"307,880","22,535","12,346",0.547858886,1
60640,53846,65790,34779,0.528636571,0.471363429,11362,0.172701018,8184,0.124395805,7521,0.114318285,291406,39837,10834,0.27195823,105
60641,54931,71663,26985,0.376554149,0.623445851,1741,0.024294266,38982,0.543962714,3265,0.045560471,"296,971","27,065","11,039",0.407869943,5
60645,52022,45274,21225,0.468812122,0.531187878,7254,0.160224411,9365,0.206851615,7228,0.15965013,184333,17878,8045,0.449994407,5
60646,90441,27177,21233,0.781285646,0.218714354,184,0.006770431,3621,0.133237664,2896,0.106560695,"420,559","10,640",7513,0.706109023,9
60647,55927,87291,34316,0.393121857,0.606878143,4996,0.05723385,44262,0.507062584,2095,0.024000183,"358,119","39,363",11870,0.301552219,4
60657,89072,65996,56488,0.855930662,0.144069338,1840,0.027880478,4702,0.071246742,4572,0.069276926,436845,43988,13340,0.303264527,9
60659,55851,38104,15736,0.412975016,0.587024984,2769,0.072669536,7195,0.18882532,11920,0.31282805,329309,14876,5563,0.373958053,9
60660,45169,42752,21508,0.503087575,0.496912425,6387,0.149396519,7781,0.182003181,4532,0.106006737,248020,22989,7022,0.305450433,39
60712,101863,12590,7596,0.603335981,0.396664019,328,0.026052423,932,0.074027006,3624,0.287847498,"445,432","4,651",3679,0.791012685,1
60714,60376,29931,20380,0.680899402,0.319100598,484,0.016170526,3431,0.114630316,5291,0.176773245,"309,724","12,062","8,223",0.68172774,1
